Quantify Compound Summary Report 

Printed Wed Feb 02 11:09:36 2022

Compound 1:  GLY_FOMC_qn

	#	Name	Sample Text	RT	Area
7	7	U1_201211_007	Sta 0.02µg/ml	4.25	1062
8	8	U1_201211_008	Sta 0.05µg/ml	4.25	2442
9	9	U1_201211_009	Sta 0.1µg/ml	4.25	5208
10	10	U1_201211_010	Sta 0.2µg/ml	4.25	11066
11	11	U1_201211_011	Sta 0.5µg/ml	4.25	27877
12	12	U1_201211_012	Sta 1 µg/ml	4.24	62570
13	13	U1_201211_013	Sta 2 µg/ml	4.24	147832
14	14	U1_201211_014	Blank	3.99	2
15	15	U1_201211_015	Sta 0.1 µg/ml	4.25	5495
16	16	U1_201211_016	Blank	4.02	8
17	17	U1_201211_017	XY-BLANK	4.24	248
18	18	U1_201211_018	XY-0.5 Spiked	4.25	2220
19	19	U1_201211_019	Blank	3.99	3
20	20	U1_201211_020	GLY-QC1 - 0.2	4.25	133
21	21	U1_201211_021	GLY-QC2 - 0.5	4.25	1511
22	22	U1_201211_022	GLY-QC3 - 1	4.25	1407
23	23	U1_201211_023	Blank	3.89	20
24	24	U1_201211_024	Sta 0.1 µg/ml	4.24	4754
25	25	U1_201211_025	Blank	3.99	4
26	26	U1_201211_026	20190528_W_1-GLY	4.03	7
27	27	U1_201211_027	20190528_W_2-GLY	3.95	8
28	28	U1_201211_028	20190528_W_3-GLY	4.01	11
29	29	U1_201211_029	20190528_W_4-GLY	3.98	2
30	30	U1_201211_030	20190528_W_5-GLY	4.22	77
31	31	U1_201211_031	20190528_W_6-GLY	4.02	7
32	32	U1_201211_032	20190528_W_7-GLY	4.25	4
33	33	U1_201211_033	20190528_W_8_12-GLY	4.25	148
34	34	U1_201211_034	Blank	4.05	4
35	35	U1_201211_035	Sta 0.1 µg/ml	4.24	4518
36	36	U1_201211_036	Blank		
37	37	U1_201211_037	20190818_W_1-GLY	4.26	39
38	38	U1_201211_038	20190818_W_2-GLY	4.16	9
39	39	U1_201211_039	20190818_W_3-GLY	3.91	19
40	40	U1_201211_040	20190818_W_4-GLY	4.23	15
41	41	U1_201211_041	20190818_W_5-GLY	4.02	4
42	42	U1_201211_042	20190818_W_6-GLY	4.01	2
43	43	U1_201211_043	20190818_W_7-GLY	3.98	1
44	44	U1_201211_044	20190818_W_8_9-GLY	4.05	3
45	45	U1_201211_045	20190818_W_10_12-GLY	4.02	7
46	46	U1_201211_046	Blank	3.96	25
47	47	U1_201211_047	Sta 0.1 µg/ml	4.24	4821
48	48	U1_201211_048	Blank	4.02	2
49	49	U1_201211_049	20200617_W_1_4-GLY	4.24	67
50	50	U1_201211_050	20200617_W_5-GLY	4.24	23
51	51	U1_201211_051	20200617_W_6-GLY	3.95	5
52	52	U1_201211_052	20200617_W_7-GLY	4.23	43
53	53	U1_201211_053	20200617_W_8_9-GLY	3.98	8
54	54	U1_201211_054	20200617_W_10_12-GLY	4.24	77
55	55	U1_201211_055	20200813_W_1_2-GLY	4.04	1
56	56	U1_201211_056	20200813_W_3-GLY	4.04	6
57	57	U1_201211_057	20200813_W_4-GLY	3.85	2
58	58	U1_201211_058	Blank	4.02	16
59	59	U1_201211_059	Sta 0.1 µg/ml	4.24	5514
60	60	U1_201211_060	Blank	3.88	10
61	61	U1_201211_061	20200813_W_5-GLY	4.25	81
62	62	U1_201211_062	20200813_W_6-GLY	4.21	79
63	63	U1_201211_063	20200813_W_7-GLY	3.97	8
64	64	U1_201211_064	20200813_W_8_12-GLY	4.13	6
65	65	U1_201211_065	20200816_W_1-GLY	4.01	4
66	66	U1_201211_066	20200816_W_2-GLY	3.98	16
67	67	U1_201211_067	20200816_W_3-GLY	4.07	9
68	68	U1_201211_068	20200816_W_4-GLY	3.93	2
69	69	U1_201211_069	20200816_W_5-GLY	4.04	1
70	70	U1_201211_070	Blank	4.28	7
71	71	U1_201211_071	Sta 0.1 µg/ml	4.24	5685
72	72	U1_201211_072	Blank	4.03	3
