Quantify Compound Summary Report 

Printed Fri Oct 08 13:17:35 2021

Compound 1:  GLY_FOMC_qn

	#	Name	Sample Text	RT	Area
160	160	U1_04122020_160	Sta 0.02 µg/ml	4.22	833
161	161	U1_04122020_161	Sta 0.05 µg/ml	4.22	2931
162	162	U1_04122020_162	Sta 0.1 µg/ml	4.22	3605
163	163	U1_04122020_163	Sta 0.2 µg/ml	4.22	5800
164	164	U1_04122020_164	Sta 0.5 µg/ml	4.22	22031
165	165	U1_04122020_165	Sta 1 µg/ml	4.22	68830
166	166	U1_04122020_166	Sta 2 µg/ml	4.21	124815
167	167	U1_04122020_167	Blank	3.94	2
168	168	U1_04122020_168	Sta 0.1 µg/ml	4.22	5755
169	169	U1_04122020_169	Blank	3.88	4
170	170	U1_04122020_170	Blank	3.94	9

Compound 3:  GLY_FMOC_IS

	#	Name	Sample Text	RT	Area
1	1	U1_04122020_001	sta 0.1 µg/ml	3.96	50
2	2	U1_04122020_002	sta 0.1 µg/ml	3.93	20480
3	3	U1_04122020_003	Blank	4.02	21
4	4	U1_04122020_004	sta 0 µg/ml	4.24	20010
5	5	U1_04122020_005	sta 0.005 µg/ml	4.23	18729
6	6	U1_04122020_006	sta 0.01 µg/ml	4.23	16880
7	7	U1_04122020_007	sta 0.02 µg/ml	4.22	16499
8	8	U1_04122020_008	sta 0.05µg/ml	4.22	17836
9	9	U1_04122020_009	sta 0.1 µg/ml	4.22	16165
10	10	U1_04122020_010	sta 0.2 µg/ml	4.22	17064
11	11	U1_04122020_011	sta 0.5 µg/ml	4.22	18647
12	12	U1_04122020_012	sta 1 µg/ml	4.22	19715
13	13	U1_04122020_013	sta 2 µg/ml	4.22	22041
14	14	U1_04122020_014	Blank	3.98	4
15	15	U1_04122020_015	sta 0.1 µg/ml	4.22	16072
16	16	U1_04122020_016	Blank	4.03	4
17	17	U1_04122020_017	XY-blank	4.22	9758
18	18	U1_04122020_018	XY-blank 0.5 Spiked	4.22	9441
19	19	U1_04122020_019	Blank	3.96	3
20	20	U1_04122020_020	GLY-QC1 - 0.2	4.22	13912
21	21	U1_04122020_021	GLY-QC2 - 0.5	4.22	9513
22	22	U1_04122020_022	GLY-QC3 - 1	4.22	10231
23	23	U1_04122020_023	Blank	3.80	1
24	24	U1_04122020_024	Sta 0.1 µg/ml	4.22	14665
25	25	U1_04122020_025	Blank	3.99	12
26	26	U1_04122020_026	20190315_W_1-GLY	4.22	16000
27	27	U1_04122020_027	20190510_W_1_9-GLY	4.22	15561
28	28	U1_04122020_028	20190606_W_1_2-GLY	4.22	16262
29	29	U1_04122020_029	20190615_W_1_9-GLY	4.22	15687
30	30	U1_04122020_030	20200627_W_1_5-GLY	4.22	15902
31	31	U1_04122020_031	20200701_W_1_12-GLY	4.22	16321
32	32	U1_04122020_032	20200812_W_1_12-GLY	4.22	16407
33	33	U1_04122020_033	20200831_W_1_12-GLY	4.22	15084
34	34	U1_04122020_034	20200924_W_1_9-GLY	4.22	19065
35	35	U1_04122020_035	20200928_W_1_12-GLY	4.22	14525
36	36	U1_04122020_036	Blank	3.97	5
37	37	U1_04122020_037	Sta 0.1 µg/ml	4.22	15838
38	38	U1_04122020_038	Blank	4.04	3
39	39	U1_04122020_039	20190315_S_1-GLY	4.22	12973
40	40	U1_04122020_040	20190415_C_A-GLY	4.22	13886
41	41	U1_04122020_041	20190415_C_B-GLY	4.22	13660
